vin,make,model,year,color
WBAUC7C59AV421385,Chevrolet,Monte Carlo,2006,Puce
JM3KE2BE1D0635269,Mazda,Protege,1992,Teal
WBALL5C56EP950304,Kia,Forte,2010,Crimson
1HGCR2E59DA801384,Saab,9-5,2006,Purple
1LNHL9EK2FG332929,GMC,3500,1995,Fuscia
2C3CK3CVXAH846623,Mazda,Millenia,1999,Fuscia
19UUA96219A096645,Audi,Quattro,1992,Turquoise
2G61V5S87F9303557,Toyota,Supra,1994,Turquoise
JN1BJ0HR1EM434620,Toyota,Tacoma,2004,Khaki
WBAEV53483K530712,Mitsubishi,Montero,2005,Green
WDDEJ7KB3BA964010,Eagle,Vision,1994,Purple
WAUPFAFM2CA893216,Chrysler,300M,2000,Violet
1G6DJ8E32D0111447,Mitsubishi,Eclipse,1994,Mauv
WAUKFAFL7BN319364,Ford,Mustang,2006,Yellow
1FTEW1CM8DF645214,Mercedes-Benz,W201,1992,Violet
1GD422CG2EF633955,Toyota,Sienna,2000,Fuscia
1GYFC36229R272855,Pontiac,Firebird,1998,Pink
1GD322CG6EF424777,Chrysler,Town & Country,1996,Mauv
1G6DW677X50793565,Audi,S4,2008,Mauv
SCBGU3ZA4DC332157,Mazda,B-Series,2003,Khaki
5N1AR1NB0BC393439,Volvo,XC70,2010,Fuscia
KMHHT6KD0AU150662,Land Rover,Range Rover,1993,Maroon
YV4952BZ0E1889641,BMW,6 Series,2009,Turquoise
2HNYD28208H824428,Honda,CR-X,1984,Pink
JA4AP3AU3CZ415438,Suzuki,Grand Vitara,2001,Maroon
WBAPM5G56BN271794,Studebaker,Avanti,1963,Red
JTHBL5EF8E5151042,Jeep,Grand Cherokee,1996,Indigo
WBA3A5C54EF362445,Ford,Ranger,1985,Mauv
WBAPK73589A736780,Chrysler,300,2011,Teal
JTHBE1KS2B0925735,Ford,Thunderbird,1989,Maroon
1FT7W2A65EE327898,Mercedes-Benz,SLK-Class,2003,Yellow
1VWAH7A35DC541058,Volkswagen,Jetta,1992,Turquoise
WUARL48H36K229241,Audi,A8,2002,Green
1GD02ZCG9BZ311587,Audi,Cabriolet,1996,Red
5FPYK1F21AB699967,Chevrolet,Express 1500,1998,Orange
5N1AR2MM1EC997935,Lexus,IS F,2011,Purple
SCFEDCAD6AG065779,Lincoln,Navigator,2000,Pink
WBAVM5C50FV754930,Buick,LaCrosse,2005,Fuscia
3D73Y4HL1AG340109,Audi,A8,2000,Puce
4T3BA3BBXFU312370,Acura,RDX,2009,Maroon
WAU3FAFR6DA185577,Volvo,C70,2011,Red
3D73M3CL4BG402956,Volvo,940,1992,Goldenrod
JTJHY7AX4A4884130,Bentley,Arnage,2009,Teal
1GYUCAEF4AR076727,Oldsmobile,Alero,1999,Fuscia
WP0AB2A80CU261866,Saturn,VUE,2004,Pink
W04GP5EC9B1258230,BMW,7 Series,2012,Red
WAULV94E19N303746,Audi,A4,2006,Aquamarine
19UUA56722A507738,Hyundai,Scoupe,1994,Orange
WAUTFAFH3DN785196,Chevrolet,Corvette,1963,Puce
